,amount,mc_weeks_signup,mc_atm_br_tx_out_count_lifetime,mc_credit_transfer_out_br_sum_last_30d,mc_billpay_br_sum_last_15d,mc_billpay_br_count_last_1y,mc_credit_transfer_out_br_sum_last_1y,mc_pur_br_count_last_1y,mc_billpay_br_count_last_15d,mc_atm_br_tx_out_count_last_1y,mc_sanction_count_last_2d,mc_credit_transfer_in_rounded_amounts_br_sum_last_30d,mc_pur_br_sum_last_15d,mc_credit_transfer_in_br_sum_last_180d,mc_credit_transfer_out_br_count_lifetime,mc_credit_transfer_out_br_count_sanction_last_30d,mc_credit_transfer_out_br_count_last_15d,mc_pur_br_count_last_15d,mc_credit_transfer_in_br_sum_last_120d,mc_pur_br_count_lifetime,mc_credit_transfer_in_br_count_last_30d,mc_credit_transfer_in_br_sum_last_90d,mc_credit_transfer_out_br_count_last_1y,mc_billpay_br_sum_last_1y,mc_credit_transfer_out_rounded_amounts_br_sum_last_30d,mc_credit_transfer_out_br_sum_last_15d,mc_credit_transfer_in_br_count_sanction_last_30d,mc_credit_transfer_in_br_sum_last_15d,mc_billpay_br_count_lifetime,mc_atm_br_tx_out_count_last_15d,mc_credit_transfer_out_rounded_amounts_br_count_last_30d,mc_credit_transfer_in_br_sum_last_60d,mc_pur_br_sum_last_1y,mc_chip_tx_succ_count_30d,mc_chip_tx_decl_ext_count_7d,mc_chip_tx_amount_local_decl_ext_sum_15d,mc_chip_tx_amount_succ_sum_7d,mc_chip_tx_amount_local_succ_sum_15d,mc_chip_tx_amount_decl_ext_sum_30d,mc_chip_tx_amount_succ_sum_30d,mc_chip_tx_succ_count_7d,decline_ext_rate_30d,mc_tx_cp_mean_decl_ext_last_31d_mw,mc_tx_amount_sum_last_60m,mc_tx_amount_decl_ext_sum_lifetime,mc_tx_amount_succ_sum_last_30d,mc_tx_succ_count_last_24h,mc_tx_amount_succ_sum_last_14d,mc_tx_amount_fail_sum_last_60m,mc_tx_amount_succ_sum_last_60m,mc_tx_amount_succ_sum_last_2d,mc_tx_amount_succ_sum_last_90d,mc_tx_amount_fail_sum_last_14d,mc_tx_amount_succ_sum_lifetime,mc_tx_amount_pend_sum_last_2d,mc_tx_amount_decl_int_sum_lifetime,mc_tx_amount_sum_last_24h,mc_tx_amount_sum_lifetime,mc_tx_succ_count_last_14d,mc_tx_succ_count_lifetime,mc_tx_amount_succ_sum_last_24h,mc_tx_amount_decl_ext_sum_last_14d,mc_tx_amount_decl_ext_sum_last_24h,mc_tx_amount_decl_ext_sum_last_60m,mc_tx_succ_count_last_2d,mc_tx_amount_fail_sum_lifetime,mc_tx_succ_count_last_30d,mc_tx_amount_sum_last_2d,mc_tx_succ_count_last_365d,mc_tx_succ_count_last_60m,mc_tx_amount_sum_last_14d,mc_tx_cp_sum_decl_ext_last_24h,mc_tx_cp_dbt_sum_sq_decl_ext_last_30d,mc_tx_count_decl_ext_last_30d,mc_tx_cp_sum_decl_ext_last_30d,mc_tx_cp_count_decl_ext_last_24h,mc_tx_cp_dbt_sum_sq_fail_last_24h,mc_tx_cp_count_decl_ext_last_30d,mc_tx_cp_dbt_sum_sq_fail_last_14d,mc_merchants_ip_count_dist_shared_last_15d,mcc_sum_succ_1y,mcc_sum_sq_succ_30d,mcc_count_succ_1y,mcc_sum_sq_succ_1y,mcc_sum_succ_30d,is_legal_entity,is_mei,is_person,anomaly_score,actual_fraud
798500,120.0,51.42857142857143,0.0,,0.0,0.0,8623.4533576255,0.0,0.0,0.0,0.0,0.0,0.0,9363.709451970391,34.0,0.0,0.0,0.0,9211.773758797586,0.0,1297.0,7063.228156486704,34.0,0.0,0.0,,0.0,3253.424706289597,0.0,0.0,0,6627.313539850349,0.0,9288,94,3278.0,6692.113882331472,48195.380000000005,2976.22997083282,46264.05148122231,1770,0.056,27.518,1515.1188028329907,16656.098754138573,111333.77409654202,1792,26381.80755941589,116.52006701698272,1398.5987358160078,7805.262324001225,127710.68812043392,1869.4172901686288,215037.51495145657,0.0,1721.922267135038,7275.7879707632765,235569.1464610848,7642,50886,6645.509736367373,1721.584957509918,514.623791028863,116.52006701698272,2126,20531.63150962828,24628,8506.71853681798,50886,388,28251.224849584523,2703.01,2228623.5399,1470.0,40940.33,116.0,92667.2001,1470.0,483914.7726,1.0,397708490.31000006,15041245085.775902,11903149,370707517961.3679,27214863.029999997,0,1,0,0.9053753023152802,0
800971,105.0,269.1428571428572,0.0,344033.4359440627,0.0,0.0,1006795.9637992694,1.0,0.0,0.0,0.0,0.0,0.0,192139.6930372599,377.0,0.0,42.0,0.0,164649.75638436887,1.0,4056.0,147685.15405645105,377.0,0.0,1000.0,194093.51168861697,0.0,47393.28664682001,0.0,0.0,1,125126.99903028154,105.8353101861836,6505,50,33196.5,26776.547779372053,489713.5,11082.52509092941,166311.68868780645,1127,0.039,154.314,1640.434929071378,281200.9431770398,350195.29948211,546,183169.4384024484,42.66946139162332,1597.7654676797547,28022.269494981443,626859.3539311041,10977.881226467083,4022670.473687356,0.0,31439.88626108328,13881.610959314276,4371841.083822048,7994,176393,12949.620092076197,9919.678847955513,883.3327095107983,23.206198300707413,1254,349170.6101346904,15216,29408.80725400276,60175,52,194147.3196289155,4720.0,12831765.0,619.0,97281.5,42.0,95940.0,619.0,8611812.0,600.0,164968852.62,19667852843.510105,1551985,489438341183.1888,7405944.029999999,0,0,1,0.719940623655944,0
803834,160.0,54.42857142857143,0.0,,0.0,0.0,8623.4533576255,0.0,0.0,0.0,0.0,0.0,0.0,14020.923864112518,34.0,0.0,0.0,0.0,13450.129906724382,0.0,1881.0,11720.442568628832,34.0,0.0,0.0,,0.0,2476.4662194316816,0.0,0.0,0,10376.655543409332,0.0,6621,97,3196.0,6563.947442786419,44387.69,2388.6563161929357,26647.982170834533,1622,0.063,24.345,0.0,21344.65438915865,77314.26867209082,0,24425.843419261884,0.0,0.0,0.0,180912.47909473648,2103.781063562452,268239.3059257592,0.0,2024.5541612381603,0.0,294661.0379670482,6167,64115,0.0,1969.176993972061,0.0,0.0,0,26421.73204128924,20266,0.0,60032,0,26529.62448282434,3800.99,1319046.0132,1370.0,33423.14,159.0,140619.9001,1370.0,412067.10029999993,1306.0,364068089.7800002,20134987104.6073,10939890,348744070791.6974,28071992.23,0,1,0,0.7322965831781479,0
806075,231.0,272.1428571428572,0.0,368510.3168994906,0.0,0.0,1256497.1636981927,1.0,0.0,0.0,0.0,0.0,0.0,239177.0636319019,402.0,0.0,18.0,0.0,209656.61562306195,1.0,3585.0,188695.1911842233,394.0,0.0,0.0,217770.137788413,0.0,46681.62194651329,0.0,0.0,0,159779.75732849963,105.8353101861836,6465,75,43344.5,60858.10236494624,661854.24,13279.666452535945,193990.74898812087,1745,0.044,183.712,2152.6208660902694,297975.4618000732,391139.16979436926,553,221366.52956301352,174.22643834849023,1978.3944277417788,38851.10184195325,825229.5900237936,14880.760689741206,4307834.451675616,0.0,33196.15872056252,16145.9378514033,4676048.171961358,7225,186233,15047.86485292721,13567.15976833464,1098.0729984760928,174.22643834849023,1413,368213.720285736,14651,41235.18955398525,66765,60,236247.29025275467,5890.5,14468463.5,680.0,125280.0,34.0,326314.5,680.0,7542372.0,54.0,158623842.82000002,18865978275.4966,1507928,473831740695.6207,6971694.6,0,0,1,0.7382557614633947,0
807888,220.0,9.428571428571429,0.0,138096.01676476235,0.0,1.0,267175.41961901233,0.0,0.0,0.0,0.0,0.0,0.0,72074.23692130494,132.0,0.0,34.0,0.0,72074.23692130494,0.0,3897.0,72074.23692130494,132.0,377.025975750906,566000.0,77063.64292051211,0.0,22918.4558057602,1.0,0.0,34,66267.6239802412,0.0,7544,96,18330.0,19072.115224691235,259414.99,6782.781312865895,94103.87840570117,1738,0.049,68.398,898.3044503499644,18576.40431137799,180696.8118808962,803,91769.93301342164,23.580491821686564,874.723958528278,18822.08079793073,318374.72904619103,5448.946063247726,318374.72904619103,0.0,372.6655854758718,8477.37395665683,338727.9049485785,8190,26718,8084.740053149699,5174.467771943673,392.6339035071304,23.580491821686564,1918,20353.17590238745,15687,19851.686856845117,26718,97,97218.87907666934,2098.0,2584257.6001,815.0,56860.98,47.0,40081.0,815.0,967855.0,2.0,3072257952.9000025,473097864502.2248,32942196,5743784529388.841,291770229.84,0,0,1,0.8007032806366496,0
811501,280.0,8.285714285714286,0.0,109035.24581537412,0.0,1.0,205629.76189333072,0.0,0.0,0.0,0.0,1000.0,0.0,58991.8869799697,108.0,0.0,21.0,0.0,58991.8869799697,0.0,3270.0,58991.8869799697,108.0,377.025975750906,386000.0,40704.21661961208,0.0,20489.27341608497,1.0,0.0,24,58991.8869799697,0.0,6462,107,18831.0,21630.312470350284,251578.8,5780.747897023744,82088.3845253644,1637,0.048,69.751,1091.4888855736235,15604.463793970071,155267.95521014233,787,81437.12142483488,123.82515291660448,967.6637326570192,20454.91642148201,265486.2416813352,5293.761860673797,265486.2416813352,0.0,321.2663305188321,10326.71718414925,282786.240007752,6807,21733,9392.121970797823,4914.097611619141,915.9468469483248,123.82515291660448,1702,17299.998326416953,13287,22277.760137937425,21733,73,86730.8832855087,4912.0,2229061.6001,679.0,47261.98,69.0,240100.0,679.0,1472534.0,2.0,3082178624.750003,510446161407.0468,33049010,5773275644283.682,277781430.1,0,0,1,0.7751550380480388,0
811924,400.0,273.1428571428572,0.0,381151.3963239605,0.0,0.0,1350974.5136132084,1.0,0.0,0.0,0.0,0.0,0.0,254621.1543949473,429.0,0.0,38.0,0.0,226277.676903011,1.0,3255.0,204426.6111827504,416.0,0.0,23000.0,217695.30841109503,0.0,42175.507304259256,0.0,0.0,2,168160.89651017392,105.8353101861836,6274,66,29615.7,42983.992200664834,657128.8,12267.99955527279,204417.51245847295,1247,0.044,188.411,3458.463774597496,302671.21522127854,398029.1252185755,664,208905.859309357,361.881335718545,3096.5824388789506,41793.78403607247,909230.366085938,11902.404300270067,4405765.5681390045,0.0,33919.33632754761,22529.156708231498,4779992.094911991,6862,189534,20649.119290757288,10172.101683494428,1831.1840554032376,361.881335718545,1366,374226.5267729836,13823,44781.209707728194,68657,99,220808.2636096271,9822.0,10667613.75,644.0,118862.4,39.0,696692.25,644.0,5276176.75,0.0,156483272.90000004,11560284238.2169,1492474,468192723402.6529,6599854.210000001,0,0,1,0.7946150753125937,0
811990,293.0,273.1428571428572,0.0,381151.3963239605,0.0,0.0,1350974.5136132084,1.0,0.0,0.0,0.0,0.0,0.0,254621.1543949473,429.0,0.0,38.0,0.0,226277.676903011,1.0,3255.0,204426.6111827504,416.0,0.0,23000.0,217695.30841109503,0.0,42175.507304259256,0.0,0.0,2,168160.89651017392,105.8353101861836,6274,66,29615.7,42983.992200664834,657128.8,12267.99955527279,204417.51245847295,1247,0.044,186.6,1754.9940369707806,302671.21522127854,398029.1252185755,582,208905.859309357,195.6618962432916,1559.332140727489,38582.314323325314,909230.366085938,11902.404300270067,4405765.5681390045,0.0,33919.33632754761,20850.11722469236,4779992.094911991,6862,189534,19315.581887988395,10172.101683494428,1462.355421551069,168.45557543231962,1218,374226.5267729836,13823,41085.46087146944,68657,59,220808.2636096271,7839.0,10667613.75,644.0,118862.4,35.0,1048498.5,644.0,5276176.75,0.0,156483272.90000004,11560284238.2169,1492474,468192723402.6529,6599854.210000001,0,0,1,0.7181569309515546,0
812547,155.0,273.1428571428572,0.0,381151.3963239605,0.0,0.0,1350974.5136132084,1.0,0.0,0.0,0.0,0.0,0.0,254621.1543949473,429.0,0.0,38.0,0.0,226277.676903011,1.0,3255.0,204426.6111827504,416.0,0.0,23000.0,217695.30841109503,0.0,42175.507304259256,0.0,0.0,2,168160.89651017392,105.8353101861836,6274,66,29615.7,42983.992200664834,657128.8,12267.99955527279,204417.51245847295,1247,0.044,187.131,259.39712625100566,302671.21522127854,398029.1252185755,537,208905.859309357,0.0,259.39712625100566,34798.01116297119,909230.366085938,11902.404300270067,4405765.5681390045,0.0,33919.33632754761,19112.197245682957,4779992.094911991,6862,189534,17502.19855196993,10172.101683494428,1565.0250993711163,0.0,1112,374226.5267729836,13823,37263.241268679456,68657,14,220808.2636096271,8386.5,10667613.75,644.0,118862.4,36.0,985853.5,644.0,5276176.75,0.0,156483272.90000004,11560284238.2169,1492474,468192723402.6529,6599854.210000001,0,0,1,0.706938772995187,0
812676,266.0,273.1428571428572,0.0,381151.3963239605,0.0,0.0,1350974.5136132084,1.0,0.0,0.0,0.0,0.0,0.0,254621.1543949473,429.0,0.0,38.0,0.0,226277.676903011,1.0,3255.0,204426.6111827504,416.0,0.0,23000.0,217695.30841109503,0.0,42175.507304259256,0.0,0.0,2,168160.89651017392,105.8353101861836,6274,66,29615.7,42983.992200664834,657128.8,12267.99955527279,204417.51245847295,1247,0.044,186.504,2370.5836314847943,302671.21522127854,398029.1252185755,584,208905.859309357,73.04710793082887,2297.5365235539653,35615.351616880645,909230.366085938,11902.404300270067,4405765.5681390045,0.0,33919.33632754761,20073.21256371431,4779992.094911991,6862,189534,18612.422159834845,10172.101683494428,1415.816809537562,73.04710793082887,1136,374226.5267729836,13823,38080.58172258891,68657,78,220808.2636096271,7587.5,10667613.75,644.0,118862.4,34.0,884028.5,644.0,5276176.75,0.0,156483272.90000004,11560284238.2169,1492474,468192723402.6529,6599854.210000001,0,0,1,0.7104276091181471,0
