Outlier,Normalization,Accuracy,Precision,Recall,F1,Precision@100
zscore,standard,0.9945078873512049,0.4419831223628692,0.33466453674121405,0.3809090909090909,0.47
zscore,minmax,0.9946248266073099,0.45768025078369906,0.3498402555910543,0.39655952919873244,0.44
zscore,robust,0.994362721378109,0.4295366795366795,0.35543130990415334,0.388986013986014,0.37
iqr,standard,0.9949635472112004,0.5014866204162537,0.40415335463258784,0.4475895621406457,0.45
iqr,minmax,0.9949191909416433,0.49584199584199584,0.38099041533546324,0.43089430894308944,0.35
iqr,robust,0.9949554824349173,0.5005065856129686,0.39456869009584666,0.441268423403305,0.33
clip,standard,0.9947377334752734,0.4765694076038904,0.4305111821086262,0.4523709609735627,0.46
clip,minmax,0.9947619278041228,0.4768928220255654,0.38738019169329074,0.42750110180696343,0.51
clip,robust,0.9943828833188167,0.4329210275927688,0.3634185303514377,0.3951367781155015,0.48
winsorize,standard,0.9945683731733281,0.4554826616682287,0.38817891373801916,0.4191461836998706,0.39
winsorize,minmax,0.9943425594374012,0.43204320432043203,0.38338658146964855,0.40626322471434617,0.35
winsorize,robust,0.9945199845156295,0.45218945487042,0.40415335463258784,0.4268241248418389,0.36
